ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
468,"Devauchelle et al., 2011",Tributary to Apalachicola 280,,0.2737,0.01,0.00045,0.3,0.02,0.00228
469,"Devauchelle et al., 2011",Tributary to Apalachicola 281,,0.5131,0.01,0.00045,0.46,0.04,0.006
470,"Devauchelle et al., 2011",Tributary to Apalachicola 282,,0.5131,0.01,0.00045,0.46,0.04,0.0061
471,"Devauchelle et al., 2011",Tributary to Apalachicola 283,,0.5131,0.01,0.00045,0.46,0.04,0.0073
472,"Devauchelle et al., 2011",Tributary to Apalachicola 284,,0.5131,0.01,0.00045,0.46,0.04,0.007
473,"Devauchelle et al., 2011",Tributary to Apalachicola 285,,0.5131,0.01,0.00045,0.46,0.04,0.0075
474,"Devauchelle et al., 2011",Tributary to Apalachicola 286,,0.5131,0.01,0.00045,0.46,0.04,0.00442
475,"Devauchelle et al., 2011",Tributary to Apalachicola 287,,0.5131,0.01,0.00045,0.46,0.04,0.00367
476,"Devauchelle et al., 2011",Tributary to Apalachicola 288,,0.5131,0.01,0.00045,0.46,0.04,0.00459
477,"Devauchelle et al., 2011",Tributary to Apalachicola 289,,0.5131,0.01,0.00045,0.46,0.04,0.00465
478,"Devauchelle et al., 2011",Tributary to Apalachicola 29,,0.202,0.01,0.00045,0.35,0.02,0.0014
479,"Devauchelle et al., 2011",Tributary to Apalachicola 290,,0.3421,0.01,0.00045,0.41,0.03,0.005
480,"Devauchelle et al., 2011",Tributary to Apalachicola 291,,0.3421,0.01,0.00045,0.41,0.03,0.005
481,"Devauchelle et al., 2011",Tributary to Apalachicola 292,,0.3421,0.01,0.00045,0.41,0.03,0.00492
482,"Devauchelle et al., 2011",Tributary to Apalachicola 293,,0.8552,0.01,0.00045,0.64,0.06,0.0128
483,"Devauchelle et al., 2011",Tributary to Apalachicola 294,,0.8552,0.01,0.00045,0.64,0.06,0.0112
484,"Devauchelle et al., 2011",Tributary to Apalachicola 295,,0.8552,0.01,0.00045,0.64,0.06,0.0128
485,"Devauchelle et al., 2011",Tributary to Apalachicola 296,,0.8552,0.01,0.00045,0.64,0.06,0.0125
486,"Devauchelle et al., 2011",Tributary to Apalachicola 297,,0.8552,0.01,0.00045,0.64,0.06,0.0117
487,"Devauchelle et al., 2011",Tributary to Apalachicola 298,,1.0263,0.01,0.00045,1.27,0.08,0.0283
488,"Devauchelle et al., 2011",Tributary to Apalachicola 299,,1.0263,0.01,0.00045,1.27,0.08,0.03
489,"Devauchelle et al., 2011",Tributary to Apalachicola 3,,0.5163,0.01,0.00045,1.2,0.04,0.0107
490,"Devauchelle et al., 2011",Tributary to Apalachicola 30,,0.202,0.01,0.00045,0.35,0.02,0.00168
491,"Devauchelle et al., 2011",Tributary to Apalachicola 300,,1.0263,0.01,0.00045,1.27,0.08,0.0255
492,"Devauchelle et al., 2011",Tributary to Apalachicola 301,,1.0263,0.01,0.00045,1.27,0.08,0.0309
493,"Devauchelle et al., 2011",Tributary to Apalachicola 302,,2.7367,0.01,0.00045,2.92,0.2,0.29
494,"Devauchelle et al., 2011",Tributary to Apalachicola 303,,2.7367,0.01,0.00045,2.92,0.2,0.29
495,"Devauchelle et al., 2011",Tributary to Apalachicola 304,,2.7367,0.01,0.00045,2.92,0.2,0.27
496,"Devauchelle et al., 2011",Tributary to Apalachicola 305,,2.7367,0.01,0.00045,2.92,0.2,0.3
497,"Devauchelle et al., 2011",Tributary to Apalachicola 306,,0.6842,0.01,0.00045,0.94,0.05,0.0219
498,"Devauchelle et al., 2011",Tributary to Apalachicola 307,,0.6842,0.01,0.00045,0.94,0.05,0.0208
499,"Devauchelle et al., 2011",Tributary to Apalachicola 308,,0.6842,0.01,0.00045,0.94,0.05,0.0203
500,"Devauchelle et al., 2011",Tributary to Apalachicola 309,,0.6842,0.01,0.00045,0.94,0.05,0.0174
501,"Devauchelle et al., 2011",Tributary to Apalachicola 31,,0.202,0.01,0.00045,0.35,0.02,0.00168
502,"Devauchelle et al., 2011",Tributary to Apalachicola 310,,0.6842,0.01,0.00045,0.94,0.05,0.0203
503,"Devauchelle et al., 2011",Tributary to Apalachicola 311,,0.3421,0.01,0.00045,0.36,0.03,0.00287
504,"Devauchelle et al., 2011",Tributary to Apalachicola 312,,0.3421,0.01,0.00045,0.36,0.03,0.00328
505,"Devauchelle et al., 2011",Tributary to Apalachicola 313,,0.3421,0.01,0.00045,0.36,0.03,0.0034
506,"Devauchelle et al., 2011",Tributary to Apalachicola 314,,0.3421,0.01,0.00045,0.36,0.03,0.00291
507,"Devauchelle et al., 2011",Tributary to Apalachicola 315,,0.5131,0.01,0.00045,0.64,0.04,0.0068
508,"Devauchelle et al., 2011",Tributary to Apalachicola 316,,0.5131,0.01,0.00045,0.64,0.04,0.0079
509,"Devauchelle et al., 2011",Tributary to Apalachicola 317,,0.5131,0.01,0.00045,0.64,0.04,0.0062
510,"Devauchelle et al., 2011",Tributary to Apalachicola 318,,0.5131,0.01,0.00045,0.64,0.04,0.0072
511,"Devauchelle et al., 2011",Tributary to Apalachicola 319,,0.5131,0.01,0.00045,0.64,0.04,0.0067
512,"Devauchelle et al., 2011",Tributary to Apalachicola 32,,0.4714,0.01,0.00045,0.55,0.04,0.0044
513,"Devauchelle et al., 2011",Tributary to Apalachicola 320,,0.171,0.01,0.00045,0.18,0.01,0.00118
514,"Devauchelle et al., 2011",Tributary to Apalachicola 321,,0.171,0.01,0.00045,0.18,0.01,0.00235
515,"Devauchelle et al., 2011",Tributary to Apalachicola 322,,0.171,0.01,0.00045,0.18,0.01,0.00131
516,"Devauchelle et al., 2011",Tributary to Apalachicola 323,,0.171,0.01,0.00045,0.18,0.01,0.00112
517,"Devauchelle et al., 2011",Tributary to Apalachicola 324,,0.171,0.01,0.00045,0.18,0.01,0.00107
518,"Devauchelle et al., 2011",Tributary to Apalachicola 325,,0.5131,0.01,0.00045,0.41,0.04,0.0072
519,"Devauchelle et al., 2011",Tributary to Apalachicola 326,,0.5131,0.01,0.00045,0.41,0.04,0.0074
520,"Devauchelle et al., 2011",Tributary to Apalachicola 327,,0.5131,0.01,0.00045,0.41,0.04,0.0074
521,"Devauchelle et al., 2011",Tributary to Apalachicola 328,,0.3421,0.01,0.00045,0.64,0.03,0.005
522,"Devauchelle et al., 2011",Tributary to Apalachicola 329,,0.3421,0.01,0.00045,0.64,0.03,0.00492
523,"Devauchelle et al., 2011",Tributary to Apalachicola 33,,0.4714,0.01,0.00045,0.55,0.04,0.00489
524,"Devauchelle et al., 2011",Tributary to Apalachicola 330,,0.3421,0.01,0.00045,0.64,0.03,0.00434
525,"Devauchelle et al., 2011",Tributary to Apalachicola 331,,0.3421,0.01,0.00045,0.64,0.03,0.00492
526,"Devauchelle et al., 2011",Tributary to Apalachicola 332,,0.6158,0.01,0.00045,0.79,0.05,0.0146
527,"Devauchelle et al., 2011",Tributary to Apalachicola 333,,0.6158,0.01,0.00045,0.79,0.05,0.0168
528,"Devauchelle et al., 2011",Tributary to Apalachicola 334,,0.6158,0.01,0.00045,0.79,0.05,0.0155
529,"Devauchelle et al., 2011",Tributary to Apalachicola 335,,0.6158,0.01,0.00045,0.56,0.05,0.0093
530,"Devauchelle et al., 2011",Tributary to Apalachicola 336,,0.6158,0.01,0.00045,0.56,0.05,0.0079
531,"Devauchelle et al., 2011",Tributary to Apalachicola 337,,0.6158,0.01,0.00045,0.56,0.05,0.0105
532,"Devauchelle et al., 2011",Tributary to Apalachicola 338,,0.6158,0.01,0.00045,0.56,0.05,0.0102
533,"Devauchelle et al., 2011",Tributary to Apalachicola 339,,0.6158,0.01,0.00045,0.56,0.05,0.011
534,"Devauchelle et al., 2011",Tributary to Apalachicola 34,,0.4714,0.01,0.00045,0.55,0.04,0.0044
535,"Devauchelle et al., 2011",Tributary to Apalachicola 340,,0.6158,0.01,0.00045,0.56,0.05,0.0113
536,"Devauchelle et al., 2011",Tributary to Apalachicola 341,,0.6158,0.01,0.00045,0.51,0.05,0.0068
537,"Devauchelle et al., 2011",Tributary to Apalachicola 342,,0.6158,0.01,0.00045,0.51,0.05,0.0069
538,"Devauchelle et al., 2011",Tributary to Apalachicola 343,,0.6158,0.01,0.00045,0.51,0.05,0.0069
539,"Devauchelle et al., 2011",Tributary to Apalachicola 344,,0.6842,0.01,0.00045,0.64,0.05,0.01
540,"Devauchelle et al., 2011",Tributary to Apalachicola 345,,0.6842,0.01,0.00045,0.64,0.05,0.0128
541,"Devauchelle et al., 2011",Tributary to Apalachicola 346,,0.6842,0.01,0.00045,0.64,0.05,0.0128
542,"Devauchelle et al., 2011",Tributary to Apalachicola 347,,0.6842,0.01,0.00045,0.64,0.05,0.012
543,"Devauchelle et al., 2011",Tributary to Apalachicola 348,,0.4276,0.01,0.00045,0.38,0.03,0.00315
544,"Devauchelle et al., 2011",Tributary to Apalachicola 349,,0.4276,0.01,0.00045,0.38,0.03,0.00347
545,"Devauchelle et al., 2011",Tributary to Apalachicola 35,,0.4714,0.01,0.00045,0.55,0.04,0.0044
546,"Devauchelle et al., 2011",Tributary to Apalachicola 350,,0.4276,0.01,0.00045,0.38,0.03,0.00358
547,"Devauchelle et al., 2011",Tributary to Apalachicola 351,,0.4276,0.01,0.00045,0.38,0.03,0.00333
548,"Devauchelle et al., 2011",Tributary to Apalachicola 352,,0.4276,0.01,0.00045,0.48,0.03,0.0057
549,"Devauchelle et al., 2011",Tributary to Apalachicola 353,,0.4276,0.01,0.00045,0.48,0.03,0.0052
550,"Devauchelle et al., 2011",Tributary to Apalachicola 354,,0.4276,0.01,0.00045,0.48,0.03,0.00467
551,"Devauchelle et al., 2011",Tributary to Apalachicola 355,,0.4276,0.01,0.00045,0.48,0.03,0.0056
552,"Devauchelle et al., 2011",Tributary to Apalachicola 356,,0.2566,0.01,0.00045,0.22,0.02,0.00084
553,"Devauchelle et al., 2011",Tributary to Apalachicola 357,,0.2566,0.01,0.00045,0.22,0.02,0.00108
554,"Devauchelle et al., 2011",Tributary to Apalachicola 358,,0.2566,0.01,0.00045,0.22,0.02,0.00104
555,"Devauchelle et al., 2011",Tributary to Apalachicola 359,,0.2566,0.01,0.00045,0.22,0.02,0.00091
556,"Devauchelle et al., 2011",Tributary to Apalachicola 36,,0.4714,0.01,0.00045,0.55,0.04,0.0051
557,"Devauchelle et al., 2011",Tributary to Apalachicola 360,,0.2566,0.01,0.00045,0.22,0.02,0.00117
558,"Devauchelle et al., 2011",Tributary to Apalachicola 361,,0.1197,0.01,0.00045,0.2,0.01,0.00068
559,"Devauchelle et al., 2011",Tributary to Apalachicola 362,,0.1197,0.01,0.00045,0.2,0.01,0.00065
560,"Devauchelle et al., 2011",Tributary to Apalachicola 363,,0.1197,0.01,0.00045,0.2,0.01,0.00071
561,"Devauchelle et al., 2011",Tributary to Apalachicola 364,,0.1197,0.01,0.00045,0.2,0.01,0.00071
562,"Devauchelle et al., 2011",Tributary to Apalachicola 365,,0.171,0.01,0.00045,0.19,0.01,0.00026
563,"Devauchelle et al., 2011",Tributary to Apalachicola 366,,0.171,0.01,0.00045,0.19,0.01,0.00026
564,"Devauchelle et al., 2011",Tributary to Apalachicola 367,,0.171,0.01,0.00045,0.19,0.01,0.00027
565,"Devauchelle et al., 2011",Tributary to Apalachicola 368,,0.5987,0.01,0.00045,0.86,0.04,0.0103
566,"Devauchelle et al., 2011",Tributary to Apalachicola 369,,0.5987,0.01,0.00045,0.86,0.04,0.0105
567,"Devauchelle et al., 2011",Tributary to Apalachicola 37,,0.2963,0.01,0.00045,0.35,0.02,0.00225
568,"Devauchelle et al., 2011",Tributary to Apalachicola 370,,0.5987,0.01,0.00045,0.86,0.04,0.0096
569,"Devauchelle et al., 2011",Tributary to Apalachicola 371,,0.5987,0.01,0.00045,0.86,0.04,0.0132
570,"Devauchelle et al., 2011",Tributary to Apalachicola 38,,0.2963,0.01,0.00045,0.35,0.02,0.00225
571,"Devauchelle et al., 2011",Tributary to Apalachicola 39,,0.2963,0.01,0.00045,0.35,0.02,0.00225
572,"Devauchelle et al., 2011",Tributary to Apalachicola 4,,0.5163,0.01,0.00045,1.2,0.04,0.0117
573,"Devauchelle et al., 2011",Tributary to Apalachicola 40,,0.2963,0.01,0.00045,0.35,0.02,0.00225
574,"Devauchelle et al., 2011",Tributary to Apalachicola 41,,0.1347,0.01,0.00045,0.2,0.01,0.00037
575,"Devauchelle et al., 2011",Tributary to Apalachicola 42,,0.1347,0.01,0.00045,0.2,0.01,0.00031
576,"Devauchelle et al., 2011",Tributary to Apalachicola 43,,0.1347,0.01,0.00045,0.2,0.01,0.00031
577,"Devauchelle et al., 2011",Tributary to Apalachicola 44,,0.1347,0.01,0.00045,0.2,0.01,0.00031
578,"Devauchelle et al., 2011",Tributary to Apalachicola 45,,0.1347,0.01,0.00045,0.2,0.01,0.00031
579,"Devauchelle et al., 2011",Tributary to Apalachicola 49,,0.1751,0.01,0.00045,0.15,0.01,0.00078
580,"Devauchelle et al., 2011",Tributary to Apalachicola 5,,0.202,0.01,0.00045,0.17,0.02,0.00026
581,"Devauchelle et al., 2011",Tributary to Apalachicola 50,,0.1751,0.01,0.00045,0.15,0.01,0.00078
582,"Devauchelle et al., 2011",Tributary to Apalachicola 51,,0.1751,0.01,0.00045,0.15,0.01,0.00059
583,"Devauchelle et al., 2011",Tributary to Apalachicola 52,,0.1751,0.01,0.00045,0.15,0.01,0.00059
584,"Devauchelle et al., 2011",Tributary to Apalachicola 53,,0.1751,0.01,0.00045,0.15,0.01,0.00078
585,"Devauchelle et al., 2011",Tributary to Apalachicola 54,,0.1347,0.01,0.00045,0.25,0.01,0.00036
586,"Devauchelle et al., 2011",Tributary to Apalachicola 55,,0.1347,0.01,0.00045,0.25,0.01,0.00041
587,"Devauchelle et al., 2011",Tributary to Apalachicola 56,,0.1347,0.01,0.00045,0.25,0.01,0.00036
588,"Devauchelle et al., 2011",Tributary to Apalachicola 57,,0.1347,0.01,0.00045,0.25,0.01,0.00036
589,"Devauchelle et al., 2011",Tributary to Apalachicola 58,,0.1347,0.01,0.00045,0.25,0.01,0.00036
590,"Devauchelle et al., 2011",Tributary to Apalachicola 59,,0.1347,0.01,0.00045,0.25,0.01,0.00036
591,"Devauchelle et al., 2011",Tributary to Apalachicola 6,,0.202,0.01,0.00045,0.17,0.02,0.00022
592,"Devauchelle et al., 2011",Tributary to Apalachicola 60,,0.1347,0.01,0.00045,0.2,0.01,0.00048
593,"Devauchelle et al., 2011",Tributary to Apalachicola 61,,0.1347,0.01,0.00045,0.2,0.01,0.00047
594,"Devauchelle et al., 2011",Tributary to Apalachicola 62,,0.1347,0.01,0.00045,0.2,0.01,0.00051
595,"Devauchelle et al., 2011",Tributary to Apalachicola 63,,0.1347,0.01,0.00045,0.2,0.01,0.00051
596,"Devauchelle et al., 2011",Tributary to Apalachicola 64,,0.1347,0.01,0.00045,0.2,0.01,0.00049
597,"Devauchelle et al., 2011",Tributary to Apalachicola 65,,0.3367,0.01,0.00045,0.35,0.03,0.00088
598,"Devauchelle et al., 2011",Tributary to Apalachicola 66,,0.3367,0.01,0.00045,0.35,0.03,0.00072
599,"Devauchelle et al., 2011",Tributary to Apalachicola 67,,0.3367,0.01,0.00045,0.35,0.03,0.00077
600,"Devauchelle et al., 2011",Tributary to Apalachicola 68,,0.3367,0.01,0.00045,0.35,0.03,0.00091
601,"Devauchelle et al., 2011",Tributary to Apalachicola 69,,0.3367,0.01,0.00045,0.35,0.03,0.00065
602,"Devauchelle et al., 2011",Tributary to Apalachicola 7,,0.202,0.01,0.00045,0.17,0.02,0.00031
603,"Devauchelle et al., 2011",Tributary to Apalachicola 70,,0.3367,0.01,0.00045,0.35,0.03,0.00084
604,"Devauchelle et al., 2011",Tributary to Apalachicola 71,,0.202,0.01,0.00045,0.45,0.02,0.00291
605,"Devauchelle et al., 2011",Tributary to Apalachicola 72,,0.202,0.01,0.00045,0.45,0.02,0.00262
606,"Devauchelle et al., 2011",Tributary to Apalachicola 73,,0.202,0.01,0.00045,0.45,0.02,0.00262
607,"Devauchelle et al., 2011",Tributary to Apalachicola 74,,0.202,0.01,0.00045,0.45,0.02,0.00209
608,"Devauchelle et al., 2011",Tributary to Apalachicola 75,,0.202,0.01,0.00045,0.45,0.02,0.00174
609,"Devauchelle et al., 2011",Tributary to Apalachicola 76,,0.202,0.01,0.00045,0.45,0.02,0.00262
610,"Devauchelle et al., 2011",Tributary to Apalachicola 77,,0.202,0.01,0.00045,0.45,0.02,0.00174
611,"Devauchelle et al., 2011",Tributary to Apalachicola 78,,0.202,0.01,0.00045,0.45,0.02,0.00262
612,"Devauchelle et al., 2011",Tributary to Apalachicola 79,,0.202,0.01,0.00045,0.45,0.02,0.00174
613,"Devauchelle et al., 2011",Tributary to Apalachicola 8,,0.202,0.01,0.00045,0.17,0.02,0.00031
614,"Devauchelle et al., 2011",Tributary to Apalachicola 80,,0.4714,0.01,0.00045,0.22,0.04,0.00347
615,"Devauchelle et al., 2011",Tributary to Apalachicola 81,,0.4714,0.01,0.00045,0.22,0.04,0.00208
616,"Devauchelle et al., 2011",Tributary to Apalachicola 82,,0.4714,0.01,0.00045,0.22,0.04,0.0026
617,"Devauchelle et al., 2011",Tributary to Apalachicola 83,,0.4714,0.01,0.00045,0.22,0.04,0.00347
618,"Devauchelle et al., 2011",Tributary to Apalachicola 84,,0.4714,0.01,0.00045,0.22,0.04,0.0026
619,"Devauchelle et al., 2011",Tributary to Apalachicola 85,,0.4714,0.01,0.00045,0.22,0.04,0.00347
620,"Devauchelle et al., 2011",Tributary to Apalachicola 86,,0.4714,0.01,0.00045,0.22,0.04,0.0026
621,"Devauchelle et al., 2011",Tributary to Apalachicola 87,,0.1347,0.01,0.00045,0.3,0.01,0.00066
622,"Devauchelle et al., 2011",Tributary to Apalachicola 88,,0.1347,0.01,0.00045,0.3,0.01,0.00075
623,"Devauchelle et al., 2011",Tributary to Apalachicola 89,,0.1347,0.01,0.00045,0.3,0.01,0.00067
624,"Devauchelle et al., 2011",Tributary to Apalachicola 9,,0.202,0.01,0.00045,0.17,0.02,0.00036
625,"Devauchelle et al., 2011",Tributary to Apalachicola 90,,0.1347,0.01,0.00045,0.3,0.01,0.00073
626,"Devauchelle et al., 2011",Tributary to Apalachicola 91,,0.1347,0.01,0.00045,0.3,0.01,0.0007
627,"Devauchelle et al., 2011",Tributary to Apalachicola 92,,0.1347,0.01,0.00045,0.3,0.01,0.00067
628,"Devauchelle et al., 2011",Tributary to Apalachicola 93,,0.4714,0.01,0.00045,0.9,0.04,0.0108
629,"Devauchelle et al., 2011",Tributary to Apalachicola 94,,0.4714,0.01,0.00045,0.9,0.04,0.0093
630,"Devauchelle et al., 2011",Tributary to Apalachicola 95,,0.4714,0.01,0.00045,0.9,0.04,0.0108
631,"Devauchelle et al., 2011",Tributary to Apalachicola 96,,0.4714,0.01,0.00045,0.9,0.04,0.0108
632,"Devauchelle et al., 2011",Tributary to Apalachicola 97,,0.4714,0.01,0.00045,0.9,0.04,0.013
633,"Devauchelle et al., 2011",Tributary to Apalachicola 98,,0.4714,0.01,0.00045,0.9,0.04,0.0108
634,"Devauchelle et al., 2011",Tributary to Apalachicola 99,,0.4714,0.01,0.00045,0.9,0.04,0.0108
635,"Doll et al., 2003","VAN SWAMP NEAR HOKE, NC",,,0.0015,,11.89,0.85,25.91
636,"Duell, 2006; Li et al., 2015","Cow Ck above Gatesville Reservoir, near Azalea, OR",,0.0871,0.000357,0.003,23.16,1.21,32.76
637,"Duell, 2006; Li et al., 2015","Gassy Ck Nr Nonpareil, OR",,0.0824,0.007,0.024,7.77,0.47,5.78
638,"Duell, 2006; Li et al., 2015","Elk Ck Nr Drew, OR",,0.1404,0.00323,0.017,22.71,1.22,47.06
639,"Duell, 2006; Li et al., 2015","South Umpqua River at Tiller, OR",,0.035,0.000417,0.025,44.2,3.46,391.06
640,"Dunne and Jerolmack, 2020 ",MULLICA RIVER NEAR BATSTO NJ,,1.818181818,0.0008,0.0004,5.9,1.5,4.5
641,"Dutnell, 2000; Garday et al., 2000","BARON FORK AT ELDON, OK",808.08,0.0504,0.00157,0.02366,51.72,1.25,103
642,"Dutnell, 2000","BEAVER RIVER AT BEAVER, OK",20683.66,,0.00063,,17.07,0.55,4.6
643,"Dutnell, 2000","CANADIAN RIVER AT BRIDGEPORT, OK",63967.57,,0.00079,,140.44,0.89,296.48
644,"Dutnell, 2000","CANADIAN RIVER AT CALVIN, OK",71009.76,,0.00063,,214.61,2,1182.23
645,"Dutnell, 2000","ILLINOIS RIVER NEAR TAHLEQUAH, OK",2460.49,,0.00013,,51.67,2.23,104.77
646,"Dutnell, 2000","LITTLE RIVER NEAR SASAKWA, OK",2299.91,,0.00086,,41.73,2.58,135.5
647,"Dutnell, 2000","LITTLE RIVER NEAR TECUMSEH, OK",1199.17,,0.00052,,24.06,1.13,93.53
648,"Dutnell, 2000","MUDDY BOGGY CREEK NEAR FARRIS, OK",2820.5,,0.00017,,96.41,3.12,52.56
649,"Dutnell, 2000","NEOSHO R NR PARSONS, KS",12703.9,,0.0042,,59.8,3.19,295.63
650,"Dutnell, 2000","NEOSHO RIVER NEAR COMMERCE, OK",15348.28,,0.0032,,108.45,2,310.07
651,"Dutnell, 2000","NORTH CANADIAN RIVER NEAR EL RENO, OK",34490.9,,0.00066,,35.73,2.41,88.83
652,"Dutnell, 2000","NORTH CANADIAN RIVER NEAR HARRAH, OK",35677.11,,0.0005,,51.69,2.67,224.69
653,"Dutnell, 2000","NORTH FORK RED RIVER NEAR CARTER, OK",6868.65,,0.00091,,63.7,1.04,81.61
654,"Dutnell, 2000","NORTH FORK RED RIVER NEAR HEADRICK, OK",11810.35,,0.00037,,52.64,1.89,165.48
655,"Dutnell, 2000","SALT FORK ARKANSAS RIVER NR ALVA, OK",2543.37,,0.0016,,36.66,2.05,76.03
656,"Dutnell, 2000","SALT FORK RED RIVER AT MANGUM, OK",3765.85,,0.00142,,69.49,0.72,76.99
657,"Dutnell, 2000","SPRING RIVER NEAR QUAPAW, OK",6516.41,,0.00002,,85.1,4.39,568.04
658,"Elliott and Cartier, 1986","BLACK SULPHUR CREEK NEAR RIO BLANCO, CO.",266.77,0.1361,0.0006,0.00211,15.8,0.79,0.63
659,"Elliott and Cartier, 1986","BOX ELDER GULCH NEAR RANGELY, CO.",23.85,1.2618,0.0157,0.00641,6.5,0.85,0.47
660,"Elliott and Cartier, 1986","CORRAL GULCH BELOW WATER GULCH, NR RANGELY, CO.",22.3,2.4334,0.0254,0.00291,4.8,0.46,0.19
661,"Elliott and Cartier, 1986","CORRAL GULCH NEAR RANGELY, CO",82.36,0.8259,0.0089,0.0032,9.6,0.49,0.4
662,"Elliott and Cartier, 1986",Dry Fork near DeBeque,282.31,0.2747,0.0069,0.0102,4.88,0.67,0.99
663,"Elliott and Cartier, 1986",Middle Fork Stewart Gulch near Rio Blanco,62.16,8.7273,0.0116,0.00058,3.05,0.72,0.59
664,"Elliott and Cartier, 1986",Parachute Creek near Grand Valley,365.19,0.6414,0.0074,0.00867,11.58,1.24,4.81
665,"Elliott and Cartier, 1986","PICEANCE CREEK AT WHITE RIVER, CO",1688.67,0.4511,0.0024,0.00748,16.7,2.32,4.73
666,"Elliott and Cartier, 1986",Piceance Creek below Gardenhire Gulch,660.45,1.7445,0.0049,0.00366,5.15,2.15,1.59
667,"Elliott and Cartier, 1986","PICEANCE CREEK BELOW RIO BLANCO, CO.",458.43,0.576,0.0024,0.00399,16.8,1.58,2.15
668,"Elliott and Cartier, 1986",Scandard Gulch at mouth near Rio Blanco,20.64,2.4974,0.0168,0.00053,3.08,0.13,0.14
669,"Elliott and Cartier, 1986",Scandard Gulch near Rio Blanco,17.12,3.5884,0.0196,0.00096,1.92,0.29,0.0419
670,"Elliott and Cartier, 1986",Sorgum Gulch at mouth near Rio Blanco,9.38,0.7597,0.0195,0.0014,2.87,0.09,0.0261
671,"Elliott and Cartier, 1986","STEWART GULCH AB WEST FORK NR RIO BLANCO, CO",113.96,1.9318,0.0085,0.00192,4.1,0.72,0.12
672,"Elliott and Cartier, 1986","West Fork Stewart Gulch at mouth, near Rio Blanco",40.66,2.5589,0.0191,0.00095,3.35,0.21,0.12
673,"Elliott and Cartier, 1986","WILLOW CREEK NEAR RIO BLANCO, CO.",125.36,1.2569,0.0049,0.00215,10.1,0.91,0.68
674,"Elliott and Cartier, 1986","YELLOW CREEK NEAR WHITE RIVER, CO.",678.58,0.9504,0.0081,0.00563,14.6,1.09,1.22
675,"Emmett, 1972; Kleinhans and van den Berg, 2011","Chatanika near Fairbanks, AK",,0.0589,0.0017,0.0182,46.3,1.04,109.6
676,"Emmett, 1972; Kleinhans and van den Berg, 2011","Gakona at Gakona, AK",1605.79,0.1384,0.0041,0.021,61,1.17,127.4
677,"Emmett, 1972","Chena River at Fairbanks, AK",5128.18,1.0409,0.0007,0.001,85.34,2.45,258
678,"Emmett, 1972",Chena River near Two Rivers,2437.18,0.0667,0.0017,0.019,68,1.23,163
679,"Emmett, 1972",Gulkana River at Gulkana,5091.92,0.1224,0.0042,0.021,152,1.01,510
680,"Emmett, 1972",Hess Creek near Livengood,1714.57,0.37,0.002,0.0115,27,3.51,141
